,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2683,2021-04-23 18:00:00,2,0.02293969296689888,0.0018820644633965348,0.14859084783500323,0.3878383222799785,0.030070088175446534,0.018147408508266766,0.019550363436243366,0.11409731241882307
6180,2021-09-16 11:00:00,1,0.020867325945999635,0.0026133809406020457,0.08736157496923887,0.32694031188385014,0.027074383902328737,0.010844324725989223,0.012804725216045684,0.04575881706464182
15929,2022-10-31 16:00:00,2,0.009915792908727177,3.226396222965488e-05,0.08232261088650611,0.24036565692776485,0.011361067148993898,0.01094882036039383,0.013654741017621482,0.01638525327205515
5975,2021-09-07 22:00:00,2,0.011099622593323026,0.0,0.04816312181402707,0.45514429109159343,0.009891476373502147,0.012969069292216234,0.012826520493009166,0.04895593965431112
13255,2022-07-10 06:00:00,1,0.00384766816588868,0.001753008614477915,0.062225347161188264,0.17305968811614983,0.014752430477051773,0.004888073564926621,0.009306583263406821,0.049555400139874126
16543,2022-11-26 06:00:00,5,0.07532969878406948,0.060097006979770495,0.13048573270053318,0.0,0.04453990504182682,0.05999210477428943,0.06286847640116387,0.025576980717354383
326,2021-01-14 13:00:00,1,0.017019657780110956,0.00037641289267930695,0.11443135876252417,0.18748879727549742,0.021309066244630345,0.007384358164592234,0.008184126499787496,0.009291637526226396
11199,2022-04-15 14:00:00,2,0.018499666576807936,0.003667337040104105,0.07827972109919727,0.43587560494712313,0.035496269500339135,0.020237321196358907,0.020705513115307914,0.04895593965431112
16529,2022-11-25 16:00:00,4,0.053426632709524566,0.02235892582515083,0.30925177242631985,0.009634343072235168,0.0674881302283518,0.033810143042912875,0.03766223859289691,0.043860525527025684
4488,2021-07-07 23:00:00,2,0.01879584568890907,0.021391006958261186,0.09738091052909122,8.962179602079225e-05,0.009721908207099256,0.015163477614712985,0.019114457896973726,0.005894694774702768
16471,2022-11-23 06:00:00,2,0.022051155630595485,0.0013981050299517116,0.16464522177301225,0.06649937264742785,0.02334388424146507,0.0130851755526658,0.01571439469067053,0.013487860925167352
2872,2021-05-01 15:00:00,2,0.009028142336232461,0.0005269780497510297,0.04716704751860315,0.4743681663380534,0.01576983947546914,0.01101848411666357,0.010625197519697482,0.04006394245179339
16823,2022-12-07 22:00:00,5,0.17122965763822875,0.13269092199649396,0.45379973047401423,0.0,0.13350666968121183,0.15142578487832062,0.1601190022122206,0.060945149365570994
9059,2022-01-14 10:00:00,5,0.2233243711071069,0.1826893087983825,0.29718169567000646,0.007393798171715361,0.16719421207325344,0.2086893925320453,0.2127328008020662,0.11289839144769707
11570,2022-05-01 01:00:00,1,0.014355819298818122,0.0,0.08331868518193004,0.3076716257393798,0.0140741578114402,0.008115827605424484,0.009273890347961597,0.1723448895993606
16186,2022-11-11 09:00:00,4,0.05816195144790795,0.04519105642966994,0.15861018339485555,0.0029575192686861445,0.05200090436355415,0.04264582946312465,0.04530148316859737,0.03346987711060046
7336,2021-11-03 15:00:00,2,0.026787361132787558,0.003785638234946173,0.14255580945684654,0.1570621975264384,0.04120506443590324,0.012748467397362065,0.01343678824798666,0.021380757318413428
5337,2021-08-12 08:00:00,5,0.09427274726522043,0.10480410397599561,0.18474248549833014,0.01053056103244309,0.05533574496947773,0.06659855099386959,0.07073657138498089,0.07553202118093716
934,2021-02-09 21:00:00,3,0.03270739631957549,0.00396846735424755,0.23091345872150934,0.02603513174404015,0.0674881302283518,0.02594974921047743,0.02577291500931748,0.11919272654610852
5076,2021-08-01 11:00:00,2,0.006659596203232077,0.0010647107535786111,0.012538817601218727,0.36856963613550814,0.00870449920868189,0.0020202489318224036,0.002637228512581324,0.005994604855629934
12124,2022-05-24 03:00:00,1,0.007548133539535477,1.0754654076551627e-05,0.04365149118181286,0.20191790643484497,0.010852362649785213,0.004284321010588891,0.004751370378039079,0.00629433509841143
5513,2021-08-19 16:00:00,1,0.017315836892212087,0.0013335771054924018,0.10945098728540457,0.23395769851227818,0.023004747908659282,0.005340887980679918,0.00617896101914715,0.021480667399340597
16045,2022-11-05 12:00:00,2,0.03329886777996907,0.020197240355763958,0.14255580945684654,0.02061301308478222,0.037813701107845356,0.020527586847482817,0.02782167104388479,0.022979318613248076
12105,2022-05-23 08:00:00,4,0.04691423929853436,0.0370175193314907,0.1626530731821644,0.028051622154507974,0.040526791770291656,0.030350176481515882,0.033826269847324085,0.022979318613248076
16612,2022-11-29 03:00:00,4,0.04809806898313021,0.023079487648279794,0.18673463408917795,0.0001792435920415845,0.037813701107845356,0.031174530930707788,0.033292285561718774,0.016485163352982314
9224,2022-01-21 07:00:00,4,0.08243356365545326,0.026198337330479764,0.36544208120935145,0.0013443269403118838,0.08297535609314945,0.055115641835407764,0.057855562699563004,0.04515935657907883
1675,2021-03-12 18:00:00,1,0.014948177523020391,2.1509308153103254e-05,0.09333802074178238,0.2884477504929199,0.015261134976260457,0.005027401077466098,0.005579590902651395,0.019182735538015784
5608,2021-08-23 15:00:00,2,0.012283452277918872,0.0008603723261241302,0.03210874787601805,0.4359204158451335,0.013904589645037303,0.007012818131153632,0.006843716966533352,0.025576980717354383
14795,2022-09-14 10:00:00,1,0.009324321448333592,0.0020433842745448093,0.06925645983476886,0.15065423911095177,0.015600271309066247,0.00517833921605053,0.006778331135642906,0.013687681087021683
12965,2022-06-28 04:00:00,2,0.021459684170201897,0.0079369347084951,0.13652077107868987,0.0033608173507797094,0.01848293013791544,0.017160505294445478,0.01880932401948498,0.029373563792586675
10585,2022-03-21 00:00:00,4,0.04513893815354493,0.015389909983545379,0.20079685943633913,0.0011202724502599032,0.022665611575853492,0.041461545606539106,0.04311105783376742,0.020181836347287443
7298,2021-11-02 01:00:00,1,0.016723478668009818,6.452792445930976e-05,0.0662682369484971,0.14742785445420326,0.01153063531539679,0.0036225153260263793,0.0043372601157329205,0.004895593965431112
14968,2022-09-21 15:00:00,2,0.006364303854939628,0.0014626329544110213,0.03562430421280835,0.42305968811614986,0.014752430477051773,0.007848783206390488,0.0088488824471737,0.040763313018283544
15651,2022-10-20 02:00:00,2,0.011395801705424157,4.301861630620651e-05,0.07728364680377336,0.13461193762322995,0.010343658150576533,0.018635054802154934,0.02242733999542299,0.008891997202517736
11746,2022-05-08 09:00:00,3,0.01613200720761624,0.010098620177881979,0.07927579539462119,0.17789926510127263,0.025717838571105583,0.026367731748095858,0.027026143434717695,0.06733939454490959
5216,2021-08-07 07:00:00,1,0.010211972020828308,0.0018928191174730864,0.0441788246323314,0.13461193762322995,0.008874067375084784,0.0063510124465911205,0.009611717140895568,0.01079028874013388
829,2021-02-05 12:00:00,4,0.04217892056015096,0.025004570727982532,0.1887267826800258,0.01563900340562825,0.07082297083427538,0.03014118521270667,0.04000523086647124,0.04266160455589969
8066,2021-12-04 01:00:00,1,0.007844312651636612,0.0,0.014530966192066562,0.2948557089084065,0.003052226995252091,0.0015674345160691064,0.001373102448699367,0.00089919072834449
10949,2022-04-05 04:00:00,1,0.012579631390020007,0.0,0.0592371242749165,0.2756318336619466,0.012717612480217048,0.006780605610254505,0.007595654021773482,0.015286242381856332
11250,2022-04-17 17:00:00,2,0.03507505568876719,0.008894098921308196,0.20079685943633913,0.2628159168309733,0.03312231517069862,0.021073286271595767,0.022351056526050805,0.07683085223299031
12429,2022-06-05 20:00:00,1,0.008731963224131327,3.226396222965488e-05,0.06122927286576434,0.2532263846567485,0.011869771648202578,0.006269738064276426,0.006582173642971568,0.01079028874013388
