dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,weekday
2020-12-31 23:00:00,2,0.049093921209963004,0.003638212350857125,0.16537467700258396,0.02618947990252788,0.049175412293853075,0.013716465814812572,0.018125191463290103,0.03826879271070615,2020,12,31,23,Thursday
2021-01-01 00:00:00,2,0.04540236622260364,0.0012709912142732315,0.15734868060449456,0.04974524331109854,0.043178410794602703,0.014140374250590445,0.01881445930766874,0.03933181473044799,2021,1,1,0,Friday
2021-01-01 01:00:00,2,0.049093921209963004,0.0013980903357005546,0.16537467700258396,0.04974524331109854,0.043178410794602703,0.018833646218131172,0.024405187378739916,0.04555808656036447,2021,1,1,1,Friday
2021-01-01 02:00:00,2,0.054262982926834666,0.0028438428419363553,0.17614125753660634,0.032564550668274794,0.043778110944527736,0.023769151577544965,0.030608597978147654,0.05178435839028095,2021,1,1,2,Friday
2021-01-01 03:00:00,2,0.057954537914194026,0.0046232305419188794,0.17880353926865553,0.02244812563073818,0.04087956021989005,0.02682734814994247,0.034105994077402224,0.053758542141230076,2021,1,1,3,Friday
2021-01-01 04:00:00,2,0.05942983280728491,0.007546510334747312,0.17614125753660634,0.013414724198193322,0.03788105947026487,0.029068007024768368,0.03642908199734504,0.04981017463933182,2021,1,1,4,Friday
2021-01-01 05:00:00,2,0.054262982926834666,0.005767122634764787,0.16001096233654372,0.013193196642626828,0.043178410794602703,0.024193060013322838,0.03083835392627387,0.04358390280941534,2021,1,1,5,Friday
2021-01-01 06:00:00,1,0.05057142793947532,0.003955960154425433,0.14525095920444756,0.018042188692249,0.049175412293853075,0.021467934354750803,0.027060145001531706,0.04403948367501899,2021,1,1,6,Friday
2021-01-01 07:00:00,1,0.049832674574719155,0.003908297983890186,0.1412575366063738,0.018485243803381988,0.05037481259370315,0.02240658874825895,0.027698355968548964,0.0431283219438117,2021,1,1,7,Friday
2021-01-01 08:00:00,1,0.0535242295620785,0.00648205519279348,0.14525095920444756,0.011445590370935586,0.05517241379310345,0.026918185671894874,0.032370060247115286,0.0475322703113136,2021,1,1,8,Friday
2021-01-01 09:00:00,2,0.05942983280728491,0.012789349093624391,0.14795239213843864,0.004061338518719078,0.06346826586706647,0.03300429964270575,0.0391606249361789,0.054214123006833724,2021,1,1,9,Friday
2021-01-01 10:00:00,2,0.062384846266309524,0.018651796069459672,0.14258867747239837,0.0016983779260097964,0.07066466766616691,0.03639556712892872,0.04306647605432452,0.057099468488990134,2021,1,1,10,Friday
2021-01-01 11:00:00,2,0.06681294278200361,0.024498355655116537,0.143919818338423,0.0009107243951067026,0.07776111944027986,0.04036213892085024,0.047278668436638416,0.06135155656795748,2021,1,1,11,Friday
2021-01-01 12:00:00,3,0.09339258105827528,0.05114150898431914,0.16001096233654372,7.384251852216507e-05,0.09205397301349326,0.061466723187791436,0.07015214949453692,0.09126803340926348,2021,1,1,12,Friday
2021-01-01 13:00:00,4,0.11553969914600998,0.0724464992135742,0.1922324015347271,7.384251852216507e-05,0.1135432283858071,0.07557681826439776,0.08682221995302768,0.11328777524677298,2021,1,1,13,Friday
2021-01-01 14:00:00,4,0.12882841236593506,0.08736475859110625,0.21905097486492833,0.0021906613828242306,0.13613193403298351,0.08305577423847878,0.09726335137343,0.12482915717539865,2021,1,1,14,Friday
2021-01-01 15:00:00,4,0.12882841236593506,0.08949366887501391,0.2324798371309999,0.008688803012774755,0.15402298850574714,0.08129958214739903,0.0975696926375983,0.0988610478359909,2021,1,1,15,Friday
2021-01-01 16:00:00,3,0.10225098592608486,0.06747374608773017,0.2459086993970715,0.019814409136780963,0.19450274862568717,0.05989220614061649,0.07416011436740529,0.08838268792710707,2021,1,1,16,Friday
2021-01-01 17:00:00,2,0.09339258105827528,0.06534483580382251,0.256636128729152,0.027740172791493344,0.2254872563718141,0.05553200508690123,0.07137751455121005,0.08929384965831436,2021,1,1,17,Friday
2021-01-01 18:00:00,2,0.08748476597664745,0.06250099296188616,0.256636128729152,0.030373889285450567,0.23268365817091455,0.05068733724943983,0.0672929643622996,0.08549734244495065,2021,1,1,18,Friday
2021-01-01 19:00:00,2,0.08157916273144103,0.053270419268226815,0.25933756166314303,0.022669653186304678,0.2207896051974013,0.04632713619572458,0.060093944654344936,0.07775246772968869,2021,1,1,19,Friday
2021-01-01 20:00:00,2,0.08010165600192873,0.044389368158492606,0.256636128729152,0.014300834420459301,0.2088955522238881,0.044389269060740026,0.05465638721535791,0.07107061503416857,2021,1,1,20,Friday
2021-01-01 21:00:00,2,0.07714885437932552,0.03372892934877588,0.25393469579516087,0.005882787308932484,0.18500749625187407,0.04190637679404106,0.051235576432145415,0.06332574031890661,2021,1,1,21,Friday
2021-01-01 22:00:00,2,0.08896227270615975,0.044389368158492606,0.2512724140631117,0.000319984246929382,0.16591704147926037,0.04729606976321686,0.056213621974880015,0.06332574031890661,2021,1,1,22,Friday
2021-01-01 23:00:00,3,0.11849250076861315,0.0724464992135742,0.2700649909952236,0.0,0.1564217891054473,0.06461575728214135,0.07352190340038804,0.07000759301442673,2021,1,1,23,Friday
2021-01-02 00:00:00,4,0.1406418306927693,0.08736475859110625,0.2834547020593532,0.0,0.13373313343328336,0.08090595288560529,0.09011538854283672,0.07107061503416857,2021,1,2,0,Saturday
2021-01-02 01:00:00,4,0.1450721390448848,0.08593489347504886,0.2834547020593532,0.0,0.1087456271864068,0.08780960455398777,0.09703359542530379,0.06423690205011391,2021,1,2,1,Saturday
2021-01-02 02:00:00,4,0.13768902907016609,0.07529034205551055,0.2834547020593532,0.0,0.09565217391304348,0.08305577423847878,0.09200449300520781,0.054214123006833724,2021,1,2,2,Saturday
2021-01-02 03:00:00,4,0.12440031585024097,0.06250099296188616,0.2915198496593845,0.0,0.08845577211394304,0.07475928056682614,0.08327376697641173,0.04646924829157176,2021,1,2,3,Saturday
2021-01-02 04:00:00,3,0.10520378754868806,0.04473889074241775,0.2834547020593532,7.384251852216507e-05,0.08375812093953024,0.06080058136014049,0.06795670376799755,0.03690205011389522,2021,1,2,4,Saturday
